Transaction Date,Transaction Type,Sort Code,Account Number,Transaction Description,Debit Amount,Credit Amount,Balance,
30/01/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,2560.30
28/02/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,4470.60
30/03/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,6380.90
31/03/2016,BGC,'12-34-56,99966633,HSBC,100,,6280.90
02/04/2016,FOREIGN CCY $7.68,'12-34-56,99966633,HLEDGER,6,,6274.90
05/04/2016,FOREIGN CCY $6.40,'12-34-56,99966633,WIKIMEDIA,5,,6269.90
07/04/2016,BP,'12-34-56,99966633,OASIS COFFEE ,3.72,,6266.18
09/04/2016,DEB,'12-34-56,99966633,TRANSFER TO 12345678,1000,,5266.18
30/04/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,7176.48
01/05/2016,BP,'12-34-56,99966633,AVIVA,100,,7076.48
30/05/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,8986.78
30/06/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,10897.08
30/07/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,12807.38
30/08/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,14717.68
30/09/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,16627.98
30/10/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,18538.28
30/11/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.30,20448.58
30/12/2016,BGC,'12-34-56,99966633,EMPLOYER INC,,1910.41,22358.99
